CustomerID,Gender,Age,Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,PaperlessBilling,MonthlyUsageGB,SupportTickets,Churn
1,Male,57,58,67.84,4070.31,Month-to-Month,Credit Card,Yes,8.2,9,Yes
2,Female,24,53,35.37,1856.56,One Year,Credit Card,No,22.8,0,No
3,Male,49,1,37.66,38.12,Two Year,Credit Card,Yes,76.7,5,No
4,Male,65,61,23.79,1415.28,Month-to-Month,Credit Card,Yes,36.5,6,No
5,Male,36,31,39.26,1211.53,Month-to-Month,Electronic Check,Yes,60.5,3,No
6,Female,23,31,47.64,1427.49,One Year,Bank Transfer,No,94.6,4,No
7,Male,37,66,86.65,5910.79,One Year,Electronic Check,Yes,72.4,8,No
8,Male,44,19,49.31,899.11,Month-to-Month,Electronic Check,No,45.3,7,No
9,Male,60,53,80.37,4070.42,Month-to-Month,Electronic Check,Yes,36.7,1,Yes
10,Female,54,22,55.16,1217.69,Month-to-Month,Electronic Check,No,19.1,9,Yes
11,Male,65,23,82.79,1919.87,Month-to-Month,Bank Transfer,Yes,75.6,2,Yes
12,Male,24,15,98.1,1533.05,Month-to-Month,Bank Transfer,Yes,11.2,8,Yes
13,Male,22,26,39.19,988.71,One Year,Electronic Check,Yes,6.1,4,No
14,Male,28,3,88.99,274.39,One Year,Credit Card,No,10.5,0,Yes
15,Female,32,20,69.75,1415.1,One Year,Bank Transfer,Yes,24.3,8,No
16,Male,20,40,85.38,3497.74,Month-to-Month,Bank Transfer,No,62.7,7,Yes
17,Female,22,39,72.13,2716.71,Month-to-Month,Electronic Check,No,86.1,9,Yes
18,Female,40,72,53.92,3861.45,Month-to-Month,Credit Card,Yes,99.3,6,No
19,Female,54,18,38.25,678.59,Two Year,Credit Card,No,73.1,6,Yes
20,Male,26,41,25.6,1070.55,One Year,Electronic Check,Yes,14.6,7,Yes
21,Female,32,70,62.84,4439.94,Two Year,Electronic Check,No,27.8,3,No
22,Male,20,27,99.23,2804.47,Month-to-Month,Bank Transfer,Yes,13.2,6,Yes
23,Female,46,15,79.04,1142.77,One Year,Bank Transfer,No,11.6,7,Yes
24,Female,23,37,46.19,1704.51,One Year,Mailed Check,No,56.8,9,No
25,Female,34,58,86.18,5095.33,Two Year,Mailed Check,Yes,90.7,2,No
26,Female,43,5,81.52,402.25,One Year,Electronic Check,Yes,68.4,1,Yes
27,Female,38,7,42.53,310.31,One Year,Mailed Check,Yes,80.1,1,Yes
28,Female,25,41,21.14,897.3,Month-to-Month,Credit Card,No,50.8,6,No
29,Female,38,10,29.45,305.48,One Year,Credit Card,Yes,47.5,8,Yes
30,Female,28,62,90.18,5652.13,Month-to-Month,Credit Card,Yes,93.7,7,Yes
31,Male,55,26,86.93,2253.78,Month-to-Month,Bank Transfer,Yes,72.2,9,Yes
32,Male,25,68,43.62,2926.98,Month-to-Month,Mailed Check,No,45.9,9,No
33,Female,59,24,42.82,988.6,Two Year,Mailed Check,Yes,33.3,6,No
34,Female,41,41,83.43,3573.96,Month-to-Month,Electronic Check,Yes,9.3,8,Yes
35,Female,52,65,95.02,6030.31,Two Year,Bank Transfer,No,82.1,3,No
36,Male,31,17,82.33,1441.89,Two Year,Bank Transfer,No,16.9,9,Yes
37,Female,31,24,68.45,1562.61,Two Year,Bank Transfer,No,51.5,6,No
38,Male,27,27,39.41,1051.46,Two Year,Credit Card,Yes,63.7,4,Yes
39,Male,29,7,62.06,437.51,Two Year,Bank Transfer,Yes,74.4,0,No
40,Male,55,12,38.68,455.54,Month-to-Month,Mailed Check,Yes,8.3,9,No
41,Male,61,3,84.64,246.15,Month-to-Month,Electronic Check,Yes,1.1,3,No
42,Male,63,10,50.96,487.76,One Year,Mailed Check,Yes,70.6,0,Yes
43,Female,51,33,86.7,3001.04,Month-to-Month,Bank Transfer,No,45.4,0,Yes
44,Female,58,46,50.53,2414.2,Month-to-Month,Electronic Check,No,18.1,6,No
45,Female,27,59,85.93,4974.74,One Year,Credit Card,No,98.2,2,Yes
46,Female,34,52,46.67,2309.33,One Year,Electronic Check,Yes,79.1,8,Yes
47,Female,34,6,55.21,332.6,Two Year,Bank Transfer,No,57.9,6,Yes
48,Male,20,2,69.24,136.01,One Year,Bank Transfer,Yes,70.2,5,Yes
49,Female,48,29,25.62,714.43,One Year,Electronic Check,Yes,15.5,1,No
50,Female,18,40,95.86,3945.72,Month-to-Month,Bank Transfer,Yes,96.2,4,Yes
